Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status,Status_encoded,SuccessRate_semester1,SuccessRate_semester2,Grade_improvement,Total_credit_enrolled,Total_credit_approval,is_financially_secure,economic_stress
15,1,9254,1,160.0,1,3,3,3,142.5,1,0,0,1,0,19,6,6,6,14.0,6,6,6,13.666666666666666,13.9,-0.3,0.79,Graduate,1,1.0,1.0,-0.3333333333333339,12,12,0,-0.237
1,5,9070,1,122.0,37,37,9,9,124.8,1,0,0,1,0,19,6,0,0,0.0,6,0,0,0.0,10.8,1.4,1.74,Dropout,0,0.0,0.0,0.0,12,0,0,2.436
17,2,9773,1,122.0,38,37,5,3,119.6,1,0,1,0,0,20,6,8,6,13.428571428571429,6,10,5,12.4,9.4,-0.8,-3.12,Graduate,1,1.0,0.8333333333333334,-1.0285714285714285,12,11,0,2.4960000000000004
39,1,8014,0,100.0,37,38,9,9,141.5,0,0,1,0,0,45,6,9,5,12.333333333333334,6,6,6,13.0,13.9,-0.3,0.79,Graduate,1,0.8333333333333334,1.0,0.6666666666666661,12,11,0,-0.237
39,1,9991,0,133.1,37,37,9,7,114.8,0,1,1,1,0,50,5,10,5,11.857142857142858,5,17,5,11.5,16.2,0.3,-0.92,Graduate,1,1.0,1.0,-0.35714285714285765,10,10,0,-0.276
1,1,9500,1,142.0,19,38,7,10,128.4,1,0,1,0,1,18,7,9,7,13.3,8,8,8,14.345,15.5,2.8,-4.06,Graduate,1,1.0,1.0,1.045,15,15,0,-11.367999999999999
18,4,9254,1,119.0,37,37,9,9,113.1,1,0,0,1,0,22,5,5,0,0.0,5,5,0,0.0,15.5,2.8,-4.06,Dropout,0,0.0,0.0,0.0,10,0,0,-11.367999999999999
1,3,9238,1,137.0,1,1,9,9,129.3,0,0,1,0,1,21,6,8,6,13.875,6,7,6,14.142857142857142,16.2,0.3,-0.92,Graduate,1,1.0,1.0,0.26785714285714235,12,12,0,-0.276
1,1,9238,1,138.0,1,19,4,7,123.0,1,1,0,0,0,18,6,9,5,11.4,6,14,2,13.5,8.9,1.4,3.51,Dropout,0,0.8333333333333334,0.3333333333333333,2.0999999999999996,12,7,0,4.914
1,1,9670,1,139.0,38,19,5,7,130.6,1,0,1,0,0,18,6,6,6,12.333333333333334,6,7,5,14.2,13.9,-0.3,0.79,Graduate,1,1.0,0.8333333333333334,1.8666666666666654,12,11,0,-0.237
